Organization Name,Organization Name URL,Website,LinkedIn
GumGum,https://www.crunchbase.com/organization/gumgum,https://gumgum.com/,https://www.linkedin.com/company/gumgum/
Hive,https://www.crunchbase.com/organization/hive-dc0c,https://thehive.ai/,https://www.linkedin.com/company/hiveai/
Crayon,https://www.crunchbase.com/organization/crayon-2,http://www.crayon.co,https://www.linkedin.com/company/crayon-co
Protenus,https://www.crunchbase.com/organization/protenus,https://www.protenus.com,http://www.linkedin.com/company/protenus
Petal,https://www.crunchbase.com/organization/petal,https://www.petalcard.com/,https://www.linkedin.com/company/petalcard/
Phenom People,https://www.crunchbase.com/organization/phenom-people,https://www.phenom.com/,https://www.linkedin.com/company/phenompeople
Nayya,https://www.crunchbase.com/organization/nayya,http://www.nayya.com,https://www.linkedin.com/company/nayya
Groq,https://www.crunchbase.com/organization/groq,http://groq.com/,https://www.linkedin.com/company/groq/
Highspot,https://www.crunchbase.com/organization/highspot-2,https://www.highspot.com,https://www.linkedin.com/company/highspot/
HighRadius,https://www.crunchbase.com/organization/highradius,https://www.highradius.com,https://www.linkedin.com/company/highradius
Vise,https://www.crunchbase.com/organization/vise-ai,https://vise.com,https://www.linkedin.com/company/viseinc
BigID,https://www.crunchbase.com/organization/bigid,https://www.bigid.com,https://www.linkedin.com/company/bigid
Tempo,https://www.crunchbase.com/organization/trainwithpivot,https://www.tempo.fit/,https://www.linkedin.com/company/tempofit/
Standard Cognition,https://www.crunchbase.com/organization/standard-cognition,https://standard.ai/,https://www.linkedin.com/company/standardcognition.com/
Bloomreach,https://www.crunchbase.com/organization/bloomreach,http://www.bloomreach.com,https://www.linkedin.com/company/bloomreach/
Yalo,https://www.crunchbase.com/organization/yalochat,https://www.yalochat.com/,https://www.linkedin.com/company/yalo
SafeGraph,https://www.crunchbase.com/organization/safegraph,http://www.safegraph.com/,https://www.linkedin.com/company/safegraph/
VAST Data,https://www.crunchbase.com/organization/vast-data,http://www.vastdata.com,https://www.linkedin.com/company/vast-data/
Blueshift,https://www.crunchbase.com/organization/blueshift-labs,http://www.blueshift.com,http://www.linkedin.com/company/blueshift-labs-inc-
Hydrosat,https://www.crunchbase.com/organization/hydrosat,http://www.hydrosat.com/,https://www.linkedin.com/company/27211003
Sentera,https://www.crunchbase.com/organization/sentera,https://sentera.com,https://www.linkedin.com/company/sentera/
Rescale,https://www.crunchbase.com/organization/rescale,http://www.rescale.com,http://www.linkedin.com/company/rescale
Viz,https://www.crunchbase.com/organization/viz,http://www.viz.ai/,https://www.linkedin.com/company/viz.ai
Kaia Health,https://www.crunchbase.com/organization/kaia-health,http://www.kaiahealth.com,https://www.linkedin.com/company/10578649
Globality,https://www.crunchbase.com/organization/globality-inc,http://www.globality.com/,https://www.linkedin.com/company/globality-inc-
Lexion,https://www.crunchbase.com/organization/lexion,https://lexion.ai/,https://www.linkedin.com/company/lexion-ai/
GoodTime.io,https://www.crunchbase.com/organization/goodtime-2,http://goodtime.io,https://www.linkedin.com/company/goodtime.io/
SuperAnnotate,https://www.crunchbase.com/organization/superannotate-ai,https://www.superannotate.ai/,https://www.linkedin.com/company/superannotate-ai/
Placer.ai,https://www.crunchbase.com/organization/placer,https://www.placer.ai/,https://www.linkedin.com/company/placer/
TytoCare,https://www.crunchbase.com/organization/tyto,http://www.tytocare.com,https://www.linkedin.com/company/tyto-care-ltd-
Snorkel AI,https://www.crunchbase.com/organization/snorkel-ai,https://www.snorkel.ai/,https://www.linkedin.com/company/snorkel-ai
Retina AI,https://www.crunchbase.com/organization/retina-ai,https://retina.ai,
VIA,https://www.crunchbase.com/organization/via-science,http://www.solvewithvia.com,https://www.linkedin.com/company/3056126?trk=prof-exp-company-name
Armorblox,https://www.crunchbase.com/organization/armorblox,https://www.armorblox.com,https://www.linkedin.com/company/armorbloxinc
Hugging Face,https://www.crunchbase.com/organization/hugging-face,https://huggingface.co/,https://www.linkedin.com/company/huggingface/
WorkFusion,https://www.crunchbase.com/organization/crowdcomputing-systems,http://www.workfusion.com/,http://www.linkedin.com/company/workfusion
Clarify Health Solutions,https://www.crunchbase.com/organization/clarify-health-solutions,http://www.clarifyhealth.com,https://www.linkedin.com/company/clarify-health-solutions/
LitLingo,https://www.crunchbase.com/organization/litlingo,https://www.litlingo.com/,https://www.linkedin.com/company/litlingo/
Solidus Labs,https://www.crunchbase.com/organization/solidus-labs,http://www.soliduslabs.com,https://www.linkedin.com/company/soliduslabs
AMP Robotics,https://www.crunchbase.com/organization/amp-robotics,http://amprobotics.com,https://www.linkedin.com/company/amp-robotics
Immunai,https://www.crunchbase.com/organization/immunai,https://www.immunai.com/,https://www.linkedin.com/company/immunai/
Enhatch,https://www.crunchbase.com/organization/enhatch,http://www.enhatch.com,http://www.linkedin.com/company/2864430
Weights & Biases,https://www.crunchbase.com/organization/weights-biases,https://www.wandb.ai,https://www.linkedin.com/company/weights-biases/
Shelf Engine,https://www.crunchbase.com/organization/shelf-engine,http://www.shelfengine.com/,https://www.linkedin.com/company/shelf-engine/
SetSail,https://www.crunchbase.com/organization/setsail,https://www.setsail.co,https://www.linkedin.com/company/setsail/
Krisp,https://www.crunchbase.com/organization/krisp-af3e,https://krisp.ai/,https://www.linkedin.com/company/krisphq/
Obviously AI,https://www.crunchbase.com/organization/obviously-ai,https://www.obviously.ai/,https://www.linkedin.com/company/obviously-ai
Legion Technologies,https://www.crunchbase.com/organization/legion,https://legion.co,https://www.linkedin.com/company/legionco
Boast.AI,https://www.crunchbase.com/organization/boast-capital,http://boast.ai,http://www.linkedin.com/company/boast-capital
AKASA,https://www.crunchbase.com/organization/alpha-health,https://akasa.com/,https://www.linkedin.com/company/akasahealth
Archipelago,https://www.crunchbase.com/organization/archipelago-analytics,https://www.onarchipelago.com/,https://www.linkedin.com/company/archipelago-analytics/
Nanit,https://www.crunchbase.com/organization/nanit,https://www.nanit.com/,https://www.linkedin.com/company/nanit/
ScienceLogic,https://www.crunchbase.com/organization/sciencelogic,http://www.sciencelogic.com,http://www.linkedin.com/company/sciencelogic
Caresyntax,https://www.crunchbase.com/organization/caresyntax,https://caresyntax.com/,https://www.linkedin.com/company/caresyntax
super.AI,https://www.crunchbase.com/organization/canotic,https://super.ai/,https://www.linkedin.com/company/mysuperai
Mycroft,https://www.crunchbase.com/organization/mycroft-ai-inc,http://mycroft.ai,https://www.linkedin.com/company/10255844
BrightHire,https://www.crunchbase.com/organization/brighthire,https://brighthire.ai/,https://www.linkedin.com/company/brighthire/
Climavision,https://www.crunchbase.com/organization/climavision,https://www.climavision.com/,https://www.linkedin.com/company/climavision/
TerraClear,https://www.crunchbase.com/organization/terraclear,https://www.terraclear.com,https://www.linkedin.com/company/terraclearinc
Dyno Therapeutics,https://www.crunchbase.com/organization/dyno-therapeutics,https://www.dynotx.com,https://www.linkedin.com/company/dynotx/
LeaseLock,https://www.crunchbase.com/organization/leaselock,http://www.leaselock.com,https://www.linkedin.com/company/leaselock/
SeekOut,https://www.crunchbase.com/organization/seekout,https://seekout.com,https://www.linkedin.com/company/seekout/about/
Imagen Technologies,https://www.crunchbase.com/organization/imagentechnologies,https://imagen.ai/,https://www.linkedin.com/company/imagen-technologies/
CLIPr,https://www.crunchbase.com/organization/clipr-7238,https://www.clipr.ai,https://www.linkedin.com/company/cliprai
Deepgram,https://www.crunchbase.com/organization/deepgram,https://deepgram.com/,https://www.linkedin.com/company/deepgram
Moveworks,https://www.crunchbase.com/organization/moveworks,https://www.moveworks.com/,https://www.linkedin.com/company/moveworksai/
Metropolis,https://www.crunchbase.com/organization/metropolis-db86,http://www.metropolis.io,https://www.linkedin.com/company/metropolisio/
SightCall,https://www.crunchbase.com/organization/sightcall,http://www.sightcall.com/,https://www.linkedin.com/company/sightcall
Alyce,https://www.crunchbase.com/organization/alyce-co,http://alyce.com,https://www.linkedin.com/company/alyce-co/
Elsa,https://www.crunchbase.com/organization/elsa,https://elsaspeak.com,https://www.linkedin.com/company/elsa-corp
Dataminr,https://www.crunchbase.com/organization/dataminr,http://www.dataminr.com,https://www.linkedin.com/company/dataminr
Carta Healthcare,https://www.crunchbase.com/organization/carta-healthcare,http://www.carta.healthcare,
Iterative.ai,https://www.crunchbase.com/organization/iterative-ai,https://iterative.ai,https://www.linkedin.com/company/iterative-ai
OctoML,https://www.crunchbase.com/organization/octoml,https://octoml.ai,https://www.linkedin.com/company/octoml
Ushur,https://www.crunchbase.com/organization/ushur-inc,https://ushur.com,https://www.linkedin.com/company/ushur-me
Leadspace,https://www.crunchbase.com/organization/leadspace,http://www.leadspace.com,https://www.linkedin.com/company/leadspacecdp/
Engine Biosciences,https://www.crunchbase.com/organization/engine-biosciences,http://www.enginebio.com,https://www.linkedin.com/company/6416170/
Unsupervised,https://www.crunchbase.com/organization/customer-science,https://unsupervised.com/,https://www.linkedin.com/company/unsupervisedai/
Streamlit,https://www.crunchbase.com/organization/streamlit,https://www.streamlit.io,https://www.linkedin.com/company/streamlit/
SiMa.ai,https://www.crunchbase.com/organization/sima-ai,https://sima.ai/,https://www.linkedin.com/company/sima-ai/about/
xCures,https://www.crunchbase.com/organization/xcures,https://www.xcures.com/,https://www.linkedin.com/company/xcures/
Blooma,https://www.crunchbase.com/organization/blooma,https://blooma.ai/,https://www.linkedin.com/company/blooma-ai/
SymphonyRM,https://www.crunchbase.com/organization/symphonyrm,https://www.symphonyrm.com/,https://www.linkedin.com/company/symphonyrm/
Co–Star,https://www.crunchbase.com/organization/co-star,https://www.costarastrology.com,https://www.linkedin.com/company/costarastrology
Skycatch,https://www.crunchbase.com/organization/skycatch,https://www.skycatch.com,http://www.linkedin.com/company/skycatch
FLYR Labs,https://www.crunchbase.com/organization/flyr,http://flyrlabs.com,http://www.linkedin.com/company/flyrinc
Touchcast,https://www.crunchbase.com/organization/touchcast,http://www.touchcast.com,http://www.linkedin.com/company/touchcast
CloudMinds,https://www.crunchbase.com/organization/cloudminds,http://www.cloudminds.com/,https://www.linkedin.com/company/cloudminds-technologies
Tribal Credit,https://www.crunchbase.com/organization/tribalcredit,https://tribal.credit/,https://www.linkedin.com/company/tribal-credit/
Scale AI,https://www.crunchbase.com/organization/scale-2,https://scale.com,https://www.linkedin.com/company/scale-api/
Hi Marley,https://www.crunchbase.com/organization/marley,https://www.himarley.com/,https://www.linkedin.com/company/himarley
Mosaic.tech,https://www.crunchbase.com/organization/mosaic-tech,https://mosaic.tech,https://www.linkedin.com/company/mosaictech/
Boomitra,https://www.crunchbase.com/organization/conserwater-technologies,https://boomitra.com,https://www.linkedin.com/company/conserwater
Arturo,https://www.crunchbase.com/organization/arturo-inc,https://www.arturo.ai,https://www.linkedin.com/company/arturoai/
Flex Logix Technologies,https://www.crunchbase.com/organization/flex-logix-technologies,http://www.flex-logix.com/,https://www.linkedin.com/company/flex-logix-technologies-inc-
Pactum,https://www.crunchbase.com/organization/pactum-6283,https://www.pactum.com/,https://www.linkedin.com/company/pactumai/
Coiled,https://www.crunchbase.com/organization/coiled,https://coiled.io/,https://www.linkedin.com/company/coiled-computing
Verusen,https://www.crunchbase.com/organization/autit,https://verusen.com/,https://www.linkedin.com/company/verusen
TrustLayer,https://www.crunchbase.com/organization/trustlayer,https://trustlayer.io/,https://www.linkedin.com/company/trustlayer/
Docbot,https://www.crunchbase.com/organization/docbot,http://www.docbot.ai,https://www.linkedin.com/company/docbot-ai
Comet.ml,https://www.crunchbase.com/organization/comet-ml,http://www.comet.ml,https://www.linkedin.com/company/comet-ml/
Mainstay,https://www.crunchbase.com/organization/admithub,https://www.mainstay.com/,https://www.linkedin.com/company/9288295
Tradeswell,https://www.crunchbase.com/organization/tradeswell,https://www.tradeswell.com,https://www.linkedin.com/company/65710804/admin/
Chef Robotics,https://www.crunchbase.com/organization/chef-robotics,http://chefrobotics.ai/,https://www.linkedin.com/company/chef-robotics
Hyro,https://www.crunchbase.com/organization/airbud-technologies-inc,https://www.hyro.ai/,https://www.linkedin.com/company/hyroai/
75F,https://www.crunchbase.com/organization/75-fahrenheit,http://75f.io,http://www.linkedin.com/company/75-fahrenheit
RoboTire,https://www.crunchbase.com/organization/robotire,https://robotire.com,https://www.linkedin.com/company/robotire
Around,https://www.crunchbase.com/organization/around-teamport-inc,https://www.around.co,https://www.linkedin.com/company/around0000/
Tellius,https://www.crunchbase.com/organization/tellius,http://www.tellius.com,https://www.linkedin.com/company/tellius
Celential.ai,https://www.crunchbase.com/organization/celential-ai,https://www.celential.ai/,https://www.linkedin.com/company/celential/
Groundspeed Analytics,https://www.crunchbase.com/organization/groundspeed-analytics,http://groundspeed.com/,https://www.linkedin.com/company/groundspeed-llc/
CrowdAI,https://www.crunchbase.com/organization/crowdai,https://crowdai.com/,https://linkedin.com/companies/crowdai
Orbiit,https://www.crunchbase.com/organization/hoppin-fbb2,https://orbiit.ai,https://www.linkedin.com/company/orbiit
Anthropic,https://www.crunchbase.com/organization/anthropic,https://www.anthropic.com/,
CopyAI,https://www.crunchbase.com/organization/copyai,https://www.copy.ai/,https://www.linkedin.com/company/copyai
Refraction AI,https://www.crunchbase.com/organization/refraction-ai,http://refraction.ai,https://www.linkedin.com/company/refraction-ai
3DLOOK,https://www.crunchbase.com/organization/3dlook,https://www.3dlook.me,https://www.linkedin.com/company/3dlook/
Cape Privacy,https://www.crunchbase.com/organization/cape-privacy,https://capeprivacy.com/,https://www.linkedin.com/company/capeprivacy/
Infinitus Systems,https://www.crunchbase.com/organization/infinitusai,https://www.infinitus.ai,https://www.linkedin.com/company/infinitusai
Fuel50,https://www.crunchbase.com/organization/fuel50,https://fuel50.com,https://www.linkedin.com/company/fuel50/
Databricks,https://www.crunchbase.com/organization/databricks,https://databricks.com,https://www.linkedin.com/company/databricks/
Cyble,https://www.crunchbase.com/organization/cyble,https://cyble.com/,https://www.linkedin.com/company/cyble-australia/
Soft Robotics,https://www.crunchbase.com/organization/soft-robotics-inc-,http://www.softroboticsinc.com,https://www.linkedin.com/company/soft-robotics-inc-?trk=top_nav_home
Copysmith,https://www.crunchbase.com/organization/copysmith,http://copysmith.ai/,https://www.linkedin.com/company/copysmith/
Nana Academy,https://www.crunchbase.com/organization/nana-io,https://nanaacademy.org,
FarEye,https://www.crunchbase.com/organization/fareye-22,http://www.getfareye.com,https://www.linkedin.com/company/fareye
BoostUp.ai,https://www.crunchbase.com/organization/boostup-ai-sales-intelligence,https://boostup.ai/,https://www.linkedin.com/company/boostup-ai/
Aquarium,https://www.crunchbase.com/organization/aquarium,https://www.aquariumlearning.com/,https://www.linkedin.com/company/aquarium-learn
SmartHop,https://www.crunchbase.com/organization/smarthop,http://www.smarthop.co,https://www.linkedin.com/company/smarthop
Nimble Robotics,https://www.crunchbase.com/organization/qoowa,https://nimble.ai,https://www.linkedin.com/company/nimble-robotics/
Ambi Robotics,https://www.crunchbase.com/organization/ambidextrous,http://www.ambirobotics.com,https://www.linkedin.com/company/ambirobotics
Native,https://www.crunchbase.com/organization/native-3000,https://www.GoNative.ai,https://www.linkedin.com/company/native-agtech
ActZero.ai,https://www.crunchbase.com/organization/actzero-ai,http://www.actzero.ai,https://www.linkedin.com/company/actzero
LinearB,https://www.crunchbase.com/organization/linear-b,https://linearb.io,https://www.linkedin.com/company/linearb/
Metagenomi,https://www.crunchbase.com/organization/metagenomi,https://www.metagenomi.co/,https://www.linkedin.com/company/metagenomi/
GenesisAI,https://www.crunchbase.com/organization/genesisai,https://www.genesisai.io/,https://www.linkedin.com/company/genesisai/
Molecula,https://www.crunchbase.com/organization/molecula,https://www.molecula.com/,https://www.linkedin.com/company/molecula
"Specular Theory, Inc.",https://www.crunchbase.com/organization/specular-theory-inc,http://www.speculartheory.com,https://www.linkedin.com/company/specular-theory
Fetcher,https://www.crunchbase.com/organization/scout-technologies,http://fetcher.ai,https://www.linkedin.com/company/fetcherai/
Breinify,https://www.crunchbase.com/organization/breinify,https://www.breinify.ai,https://www.linkedin.com/company/breinify
Traptic,https://www.crunchbase.com/organization/traptic,https://www.traptic.com/,https://www.linkedin.com/company/18232837/
Anari AI,https://www.crunchbase.com/organization/anari-ai,http://anari.ai/,https://www.linkedin.com/company/anari-ai/
Virtualitics,https://www.crunchbase.com/organization/virtualitics,https://www.virtualitics.com/,https://www.linkedin.com/company/virtualitics-llc
Mosaic,https://www.crunchbase.com/organization/mosaic-app,https://www.mosaicapp.com,https://www.linkedin.com/company/mosaicnyc/
Canvas Construction,https://www.crunchbase.com/organization/canvas-construction,http://www.canvas.build,https://www.linkedin.com/company/we-are-canvas/
Ahura AI,https://www.crunchbase.com/organization/ahura-ai,https://www.ahuraai.com/,https://www.linkedin.com/company/ahura-a-i/
Butlr,https://www.crunchbase.com/organization/butlr-0e8d,https://www.butlr.io,https://www.linkedin.com/company/livebutlr
Lumiata,https://www.crunchbase.com/organization/lumiata,http://lumiata.com,http://www.linkedin.com/company/lumiata
Zeni,https://www.crunchbase.com/organization/zeni,https://www.zeni.ai/,https://www.linkedin.com/company/zeni-inc/
Instreamatic,https://www.crunchbase.com/organization/instreamatic,https://instreamatic.com,https://www.linkedin.com/company/instreamatic
Auditoria.AI,https://www.crunchbase.com/organization/auditoria,https://www.auditoria.ai,https://www.linkedin.com/company/auditoriaai
AllHere Education,https://www.crunchbase.com/organization/allhere-education,https://www.allhere.co,https://www.linkedin.com/company/allhere
Superb AI,https://www.crunchbase.com/organization/superb-ai,https://www.superb-ai.com,https://www.linkedin.com/company/superb-ai/
Ramon.Space,https://www.crunchbase.com/organization/ramon-space,https://www.ramon.space,https://www.linkedin.com/company/ramon-chips-ltd-/
Hayden AI,https://www.crunchbase.com/organization/hayden-technologies-331a,http://www.hayden.ai,https://www.linkedin.com/company/haydenaitech
Bryte,https://www.crunchbase.com/organization/bryte,https://bryte.com,https://www.linkedin.com/company/sleepbryte
Poised,https://www.crunchbase.com/organization/poised,https://www.poised.com/,https://www.linkedin.com/company/poisedapp/
Optimal Dynamics,https://www.crunchbase.com/organization/optimal-dynamics,http://www.optimaldynamics.com,https://www.linkedin.com/company/optimal-dynamics/
Gradient AI,https://www.crunchbase.com/organization/gradient-a-i,https://www.gradientai.com/,https://www.linkedin.com/company/gradientai/
Clovers,https://www.crunchbase.com/organization/clovers,https://clovers.ai,https://www.linkedin.com/company/clovers-ai
Kintsugi,https://www.crunchbase.com/organization/kintsugi,https://kintsugihello.com/,https://www.linkedin.com/company/kintsugihello/
Oqton,https://www.crunchbase.com/organization/oqton-inc,https://www.oqton.com,https://www.linkedin.com/company/oqton/
DeepScribe,https://www.crunchbase.com/organization/deepscribe,https://deepscribe.tech,https://www.linkedin.com/company/deepscribe
Grata,https://www.crunchbase.com/organization/grata-data,https://gratadata.com,https://www.linkedin.com/company/grata-data
Heru,https://www.crunchbase.com/organization/heru-inc,https://www.seeheru.com/,https://www.linkedin.com/company/64700047/admin/
Edge Case Research,https://www.crunchbase.com/organization/edge-case-research,https://www.edge-case-research.com/,https://www.linkedin.com/company/edge-case-research
Datatron,https://www.crunchbase.com/organization/datatron,https://www.datatron.com,https://www.linkedin.com/company/datatron-io/
Reverie Labs,https://www.crunchbase.com/organization/reverie-labs,https://www.reverielabs.com,https://www.linkedin.com/company/reverie-labs/
theator,https://www.crunchbase.com/organization/theator,https://www.theator.io/,https://www.linkedin.com/company/theator/
Price.com,https://www.crunchbase.com/organization/price-technologies,https://price.com,https://www.linkedin.com/company/price.com/
Tortuga AgTech,https://www.crunchbase.com/organization/tortuga-agtech,http://www.tortugaagtech.com,https://www.linkedin.com/company/tortuga-agtech/about/
Amira Learning,https://www.crunchbase.com/organization/amira-learning,https://www.amiralearning.com/,https://www.linkedin.com/company/amira-learning/
mIQroTech,https://www.crunchbase.com/organization/miqrotech,https://www.miqrotech.com/,https://www.linkedin.com/company/miqrotech/
"Wexus Technologies, Inc.",https://www.crunchbase.com/organization/wexus-technologies,http://www.wexusapp.com/,https://www.linkedin.com/company/6401084/
Roboflow,https://www.crunchbase.com/organization/roboflow,https://roboflow.com/,https://www.linkedin.com/company/roboflow-ai/
Kinta AI,https://www.crunchbase.com/organization/kinta-artificial-intelligence,http://www.kinta-ai.com,https://www.linkedin.com/company/kinta-ai/
Actuate,https://www.crunchbase.com/organization/aegis-ai,http://www.actuate.ai,https://www.linkedin.com/company/aegissystemsai
Agara,https://www.crunchbase.com/organization/agara-labs,https://www.agara.ai,https://www.linkedin.com/company/13346572/
BigHat Biosciences,https://www.crunchbase.com/organization/bighat-biosciences,http://www.bighatbio.com,https://www.linkedin.com/company/bighat-biosciences/
CytoVale,https://www.crunchbase.com/organization/cytovale,http://www.cytovale.com/,https://www.linkedin.com/company/cytovale
Fiddler AI,https://www.crunchbase.com/organization/fiddler-labs,https://www.fiddler.ai,https://www.linkedin.com/company/fiddler-ai/
Phaidra,https://www.crunchbase.com/organization/phaidra,https://www.phaidra.ai/,https://www.linkedin.com/company/phaidra-ai/
Visage,https://www.crunchbase.com/organization/visage-2,http://www.visage.jobs,https://www.linkedin.com/company/visage-dmcc
Luxonis,https://www.crunchbase.com/organization/luxonis,https://luxonis.com,https://www.linkedin.com/company/luxonis
Restor3d,https://www.crunchbase.com/organization/restor3d,http://www.restor3d.com,https://www.linkedin.com/company/restor3d
Plunk,https://www.crunchbase.com/organization/plunk-1950,https://www.getplunk.com,https://www.linkedin.com/company/getplunk
Artis Technologies,https://www.crunchbase.com/organization/artis-technologies,https://heyartis.com,https://www.linkedin.com/company/heyartis
CognitOps,https://www.crunchbase.com/organization/cognitops,https://cognitops.com/,https://www.linkedin.com/company/cognitops/
Synthesis AI,https://www.crunchbase.com/organization/synthesis-ai,http://synthesis.ai/,https://www.linkedin.com/company/synthesis-ai/about/
PowerX,https://www.crunchbase.com/organization/powerx,https://www.powerx.co/,https://www.linkedin.com/company/powerx
ViaBot,https://www.crunchbase.com/organization/viabot,http://www.viabot.com,https://www.linkedin.com/company/viabot
pulseData,https://www.crunchbase.com/organization/pulsedata,http://pulsedata.io,https://www.linkedin.com/company/pulsedata/
Tulu,https://www.crunchbase.com/organization/tulou,http://www.tulu.io,https://www.linkedin.com/company/tulou/
"Electra Vehicles, Inc.",https://www.crunchbase.com/organization/electra-vehicles,http://www.electravehicles.com/,https://www.linkedin.com/company/electra-vehicles-inc
SchooLinks,https://www.crunchbase.com/organization/schoolinks-inc,http://www.schoolinks.com,https://www.linkedin.com/company/schoolinks/
Cloud Metal,https://www.crunchbase.com/organization/cloud-metal,http://cldmtl.com,https://www.linkedin.com/company/cloud-metal
Loop,https://www.crunchbase.com/organization/loop-4521,https://www.loopinsure.co/,https://www.linkedin.com/company/ometry-risk-solutions/
Myota,https://www.crunchbase.com/organization/myota,https://myota.io/,https://www.linkedin.com/company/myota-inc
Voxie,https://www.crunchbase.com/organization/voxie-inc,https://www.voxie.com/,https://www.linkedin.com/company/voxiechat/
intenseye,https://www.crunchbase.com/organization/intenseye,https://intenseye.com,https://www.linkedin.com/company/intenseye/
Talla,https://www.crunchbase.com/organization/talla,http://talla.com/,https://www.linkedin.com/company/talla
Torch.AI,https://www.crunchbase.com/organization/torch-ai,https://torch.ai,https://www.linkedin.com/company/torchai/
